slug,name,equipment,media_thumb,media_video,source_url,external_id
beinstrecker,Beinstrecker,"[""bodyweight""]",,,https://wger.de/en/exercise/851,851
front-lever-pull-up,Front lever pull-up,"[""bodyweight""]",,,https://wger.de/en/exercise/1252,1252
front-lever-tuck,Front lever tuck,"[""bodyweight""]",,,https://wger.de/en/exercise/1214,1214
oblicuos-en-trx,Oblicuos en TRX,"[""bodyweight""]",,,https://wger.de/en/exercise/1259,1259
trx-hammer-curl,TRX hammer curl,"[""bodyweight""]",,,https://wger.de/en/exercise/1260,1260
cable-external-rotation,Cable External Rotation,"[""bodyweight""]",,,https://wger.de/en/exercise/142,142
trx-gorilla-biceps-curl,TRX gorilla biceps curl,"[""bodyweight""]",,,https://wger.de/en/exercise/1261,1261
trx-curl-de-b-ceps-a-un-brazo,TRX - curl de bíceps a un brazo,"[""bodyweight""]",,,https://wger.de/en/exercise/1262,1262
back-bridge,Back bridge,"[""bodyweight""]",,,https://wger.de/en/exercise/1263,1263
dumbbell-concentration-curl,Dumbbell Concentration Curl,"[""db""]",,,https://wger.de/en/exercise/202,202
trx-tricep-extension,TRX Tricep Extension,"[""bodyweight""]",,,https://wger.de/en/exercise/1266,1266
fondos-en-trx,Fondos en TRX,"[""bodyweight""]",,,https://wger.de/en/exercise/1269,1269
low-pulley-cable-ffly,Low Pulley Cable fFly,"[""bodyweight""]",,,https://wger.de/en/exercise/1270,1270
low-pulley-cable-ffly,Low Pulley Cable fFly,"[""bodyweight""]",,,https://wger.de/en/exercise/1271,1271
croci-ai-cavi-bassi,Croci ai Cavi Bassi,"[""bodyweight""]",,,https://wger.de/en/exercise/1272,1272
pullover,Pullover,"[""db""]",,,https://wger.de/en/exercise/1273,1273
sitting-calf-stretch-dorsiflexion,Sitting Calf Stretch (Dorsiflexion),"[""bodyweight""]",,,https://wger.de/en/exercise/1274,1274
plantarflexion-stretch-with-band,Plantarflexion Stretch with Band,"[""bodyweight""]",,,https://wger.de/en/exercise/1275,1275
incline-dumbbell-bench-press,Incline Dumbbell Bench Press,"[""db""]",,,https://wger.de/en/exercise/1276,1276
incline-dumbbell-press,Incline Dumbbell Press,"[""db""]",,,https://wger.de/en/exercise/1277,1277
dumbbell-chest-press,Dumbbell Chest Press,"[""bodyweight""]",,,https://wger.de/en/exercise/1278,1278
biceps-close-grip-pull-down,Biceps Close Grip Pull Down,"[""bodyweight""]",,,https://wger.de/en/exercise/1280,1280
isometria-trazioni-impugnatura-inversa,Isometria trazioni impugnatura inversa,"[""bodyweight""]",,,https://wger.de/en/exercise/1282,1282
incline-chest-supported-dumbbell-row,Incline Chest-Supported Dumbbell Row,"[""bench"", ""db""]",,,https://wger.de/en/exercise/1283,1283
pseudo-planche-push-up,Pseudo Planche Push-up,"[""bodyweight""]",,,https://wger.de/en/exercise/1284,1284
talons-fesses,Talons fesses,"[""bodyweight""]",,,https://wger.de/en/exercise/1285,1285
dynamic-planche,Dynamic Planche,"[""bodyweight""]",,,https://wger.de/en/exercise/1286,1286
reach-ups,Reach ups,"[""bodyweight""]",,,https://wger.de/en/exercise/1287,1287
