slug,name,equipment,media_thumb,media_video,source_url,external_id
standing-alternate-arms-circling,Standing Alternate Arms Circling,"[""bodyweight""]",,,,
palms-in-incline-bench-press,Palms In Incline Bench Press,"[""bodyweight""]",,,,
body-up,Body-Up,"[""bodyweight""]",,,,
stair-up,Stair Up,"[""bodyweight""]",,,,
single-leg-squat-with-support,Single Leg Squat With Support,"[""bodyweight""]",,,,
two-legs-reverse-biceps-curl-with-towel,Two Legs Reverse Biceps Curl With Towel,"[""bodyweight""]",,,,
one-arm-bent-over-row,One Arm Bent-Over Row,"[""bodyweight""]",,,,
elbows-back-stretch,Elbows Back Stretch,"[""bodyweight""]",,,,
side-two-front-toe-touching,Side Two Front Toe Touching,"[""bodyweight""]",,,,
lying-lower-back-stretch,Lying Lower Back Stretch,"[""bodyweight""]",,,,
kneeling-push-up-to-child-pose,Kneeling Push Up To Child Pose,"[""bodyweight""]",,,,
back-pec-stretch,Back Pec Stretch,"[""bodyweight""]",,,,
pull-up-with-bent-knee-between-chairs,Pull-Up With Bent Knee Between Chairs,"[""bodyweight""]",,,,
45-degree-hyperextension,45 Degree Hyperextension,"[""bodyweight""]",,,,
pull-up,Pull-Up,"[""bodyweight""]",,,,
pull-up,Pull Up,"[""bodyweight""]",,,,
commando-pull-up,Commando Pull-Up,"[""bodyweight""]",,,,
side-toe-touching,Side Toe Touching,"[""bodyweight""]",,,,
superman-row-with-towel,Superman Row With Towel,"[""bodyweight""]",,,,
one-arm-wrist-curl,One Arm Wrist Curl,"[""bodyweight""]",,,,
romanian-deadlift,Romanian Deadlift,"[""bodyweight""]",,,,
one-arm-revers-wrist-curl,One Arm Revers Wrist Curl,"[""bodyweight""]",,,,
goblet-squat,Goblet Squat,"[""bodyweight""]",,,,
dumbbell-stiff-leg-deadlift,Dumbbell Stiff Leg Deadlift,"[""bodyweight""]",,,,
dumbbell-standing-calf-raise,Dumbbell Standing Calf Raise,"[""bodyweight""]",,,,
dumbbell-burpee,Dumbbell Burpee,"[""bodyweight""]",,,,
dumbbell-side-bend,Dumbbell Side Bend,"[""bodyweight""]",,,,
seated-calf-raise,Seated Calf Raise,"[""bodyweight""]",,,,
dumbbell-jumping-squat,Dumbbell Jumping Squat,"[""bodyweight""]",,,,
standing-leg-calf-raise,Standing Leg Calf Raise,"[""bodyweight""]",,,,
barbell-standing-calf-raise,Barbell Standing Calf Raise,"[""bodyweight""]",,,,
dumbbell-clean-and-press,Dumbbell Clean And Press,"[""bodyweight""]",,,,
neck-side-stretch,Neck Side Stretch,"[""bodyweight""]",,,,
hammer-curl,Hammer Curl,"[""bodyweight""]",,,,
lever-seated-calf-raise,Lever Seated Calf Raise,"[""bodyweight""]",,,,
one-leg-floor-calf-raise,One Leg Floor Calf Raise,"[""bodyweight""]",,,,
squat,Squat,"[""bodyweight""]",,,,
cable-seated-neck-extension,Cable Seated Neck Extension,"[""bodyweight""]",,,,
walking-on-treadmill,Walking On Treadmill,"[""bodyweight""]",,,,
elliptical-machine-walk,Elliptical Machine Walk,"[""bodyweight""]",,,,
bodyweight-standing-calf-raise,Bodyweight Standing Calf Raise,"[""bodyweight""]",,,,
donkey-calf-raise,Donkey Calf Raise,"[""bodyweight""]",,,,
stationary-bike-run,Stationary Bike Run,"[""bodyweight""]",,,,
standing-calf-raise,Standing Calf Raise,"[""bodyweight""]",,,,
wide-hand-push-up,Wide Hand Push Up,"[""bodyweight""]",,,,
