slug,name,equipment,body_parts,exercise_type,target_muscles,media_thumb,media_video,source_url,external_id
circles-arm,Circles Arm,"[""bodyweight""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/8ycvb4U/41n2hWQVZanCB1d7__Circles-Arm_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hWQVZanCB1d7,exr_41n2hWQVZanCB1d7
standing-arms-flinging,Standing Arms Flinging,"[""bodyweight""]","CHEST, SHOULDERS",STRENGTH,,https://cdn.exercisedb.dev/w/images/NQw1Flo/41n2hynD9srC1kY7__Standing-Arms-Flinging-(female)_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hynD9srC1kY7,exr_41n2hynD9srC1kY7
dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,"[""db""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/xneLPAv/41n2hyNf5GebszTf__Dumbbell-Rear-Delt-Fly-(female)_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hyNf5GebszTf,exr_41n2hyNf5GebszTf
shoulder-stretch-behind-the-back,Shoulder Stretch Behind The Back,"[""bodyweight""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/4FhfSlL/41n2hZqkvM55qJve__Shoulder-Stretch-Behind-the-Back_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hZqkvM55qJve,exr_41n2hZqkvM55qJve
cable-seated-neck-extension,Cable Seated Neck Extension,"[""cable""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/WoXh4BR/41n2hn2kPMag9WCf__Cable-Seated-Neck-Extension-(with-head-harness)_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hn2kPMag9WCf,exr_41n2hn2kPMag9WCf
pull-up-with-bent-knee-between-chairs,Pull-Up With Bent Knee Between Chairs,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/P7pQ53z/41n2hQEqKxuAfV1D__Pull-up-with-Bent-Knee-between-Chairs_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQEqKxuAfV1D,exr_41n2hQEqKxuAfV1D
45-degree-hyperextension,45 Degree Hyperextension,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/6n8I6Ap/41n2hRH4aTB379Tp__45-degree-hyperextension-(arms-in-front-of-chest)_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hRH4aTB379Tp,exr_41n2hRH4aTB379Tp
pull-up,Pull-Up,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/qx0CUFh/41n2hsBtDXapcADg__Pull-up_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hsBtDXapcADg,exr_41n2hsBtDXapcADg
pull-up,Pull Up,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/3XMA2St/41n2hU4y6EaYXFhr__Pull-up-(neutral-grip)_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hU4y6EaYXFhr,exr_41n2hU4y6EaYXFhr
jumping-jack,Jumping Jack,"[""bodyweight""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/BUqEMK1/41n2hupxPcdnktBC__Jumping-Jack_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hupxPcdnktBC,exr_41n2hupxPcdnktBC
front-and-back-neck-stretch,Front And Back Neck Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/8TCalRq/41n2huQw1pHKH9cw__Front-and-Back-Neck-Stretch_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2huQw1pHKH9cw,exr_41n2huQw1pHKH9cw
two-legs-reverse-biceps-curl-with-towel,Two Legs Reverse Biceps Curl With Towel,"[""bodyweight""]","BICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/RM6e6Dl/41n2hx6oyEujP1B6__Two-Legs-Reverse-Biceps-Curl-with-Towel-(VERSION-2)_Upper-Arms_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hx6oyEujP1B6,exr_41n2hx6oyEujP1B6
sliding-floor-bridge-curl-on-towel,Sliding Floor Bridge Curl On Towel,"[""bodyweight""]","HAMSTRINGS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/JzpaUMb/41n2hnFD2bT6sruf__Sliding-Floor-Bridge-Curl-on-Towel_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hnFD2bT6sruf,exr_41n2hnFD2bT6sruf
seated-single-leg-hamstring-stretch,Seated Single Leg Hamstring Stretch,"[""bodyweight""]","HAMSTRINGS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/VYehLpj/41n2hPvwqp7Pwvks__Seated-Single-Leg-Hamstring-Stretch_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hPvwqp7Pwvks,exr_41n2hPvwqp7Pwvks
split-squats,Split Squats,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/mj01SgJ/41n2hHRszDHarrxK__Split-Squats_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hHRszDHarrxK,exr_41n2hHRszDHarrxK
squat,Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/udKByDg/41n2hmGR8WuVfe1U__Squat-m_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmGR8WuVfe1U,exr_41n2hmGR8WuVfe1U
bodyweight-rear-lunge,Bodyweight Rear Lunge,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/bb8Qxkn/41n2hNjcmNgtPJ1H__Bodyweight-Rear-Lunge_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNjcmNgtPJ1H,exr_41n2hNjcmNgtPJ1H
stair-up,Stair Up,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/3lhkHNQ/41n2homrPqqs8coG__Stair-Up-(female)_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2homrPqqs8coG,exr_41n2homrPqqs8coG
bulgarian-split-squat,Bulgarian Split Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/mCQmkCI/41n2hpLLs1uU5atr__Bulgarian-Split-Squat_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hpLLs1uU5atr,exr_41n2hpLLs1uU5atr
walking-lunge,Walking Lunge,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/vxsAnsy/41n2hQHmRSoUkk9F__Walking-Lunge-Male_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQHmRSoUkk9F,exr_41n2hQHmRSoUkk9F
single-leg-squat-with-support,Single Leg Squat With Support,"[""bodyweight""]",THIGHS,STRENGTH,,https://cdn.exercisedb.dev/w/images/1L0ZTtF/41n2hsSnmS946i2k__Single-Leg-Squat-with-Support-(pistol)_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hsSnmS946i2k,exr_41n2hsSnmS946i2k
split-squat,Split Squat,"[""bodyweight""]",HIPS,STRENGTH,,https://cdn.exercisedb.dev/w/images/dxVKN2o/41n2hSxsNAV8tGS6__Split-Squat-(female)_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hSxsNAV8tGS6,exr_41n2hSxsNAV8tGS6
sit,Sit,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/dJWMhvz/41n2hvjrFJ2KjzGm__Sit-(wall)_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hvjrFJ2KjzGm,exr_41n2hvjrFJ2KjzGm
sissy-squat,Sissy Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/upYQFFw/41n2hw8nSYiaCXW1__Sissy-Squat-Bodyweight_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hw8nSYiaCXW1,exr_41n2hw8nSYiaCXW1
step-up-on-chair,Step-Up On Chair,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/2N2TbgO/41n2hXvPyEyMBgNR__Step-up-on-Chair_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hXvPyEyMBgNR,exr_41n2hXvPyEyMBgNR
sumo-squat,Sumo Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/nKmfbcf/41n2hYAP9oGEZk2P__Sumo-Squat-m_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hYAP9oGEZk2P,exr_41n2hYAP9oGEZk2P
hanging-straight-leg-raise,Hanging Straight Leg Raise,"[""bodyweight""]","HIPS, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/ze58T2O/41n2hMZCmZBvQApL__Hanging-Straight-Leg-Raise-(female)_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hMZCmZBvQApL,exr_41n2hMZCmZBvQApL
burpee,Burpee,"[""bodyweight""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/Nc6mGfp/41n2hqYdxG87hXz1__Burpee_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hqYdxG87hXz1,exr_41n2hqYdxG87hXz1
bodyweight-single-leg-deadlift,Bodyweight Single Leg Deadlift,"[""bodyweight""]",THIGHS,STRENGTH,,https://cdn.exercisedb.dev/w/images/rLX5AMD/41n2hrHSqBnVWRRB__Bodyweight-Single-Leg-Deadlift_Thighs_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hrHSqBnVWRRB,exr_41n2hrHSqBnVWRRB
pike-push-up,Pike Push Up,"[""bodyweight""]",CHEST,STRENGTH,,https://cdn.exercisedb.dev/w/images/vmbEAFU/41n2hmvGdVRvvnNY__Pike-Push-up-(on-Bench)-(VERSION-2)_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmvGdVRvvnNY,exr_41n2hmvGdVRvvnNY
commando-pull-up,Commando Pull-Up,"[""bodyweight""]","BACK, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/tkGSQfc/41n2hVCJfpAvJcdU__Commando-Pull-up_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hVCJfpAvJcdU,exr_41n2hVCJfpAvJcdU
dumbbell-clean-and-press,Dumbbell Clean And Press,"[""db""]","SHOULDERS, BICEPS, BACK, THIGHS",WEIGHTLIFTING,,https://cdn.exercisedb.dev/w/images/XwJ4aFB/41n2hXfpvSshoXWG__Dumbbell-Clean-and-Press_Weightlifting_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hXfpvSshoXWG,exr_41n2hXfpvSshoXWG
l-pull-up,L-Pull-Up,"[""bodyweight""]","BACK, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/L5eBuvr/41n2hxg75dFGERdp__L-Pull-Up_Back_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hxg75dFGERdp,exr_41n2hxg75dFGERdp
elevanted-push-up,Elevanted Push-Up,"[""bodyweight""]",CHEST,STRENGTH,,https://cdn.exercisedb.dev/w/images/qQcViqN/41n2hNfaYkEKLQHK__Elevanted-Push-Up_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNfaYkEKLQHK,exr_41n2hNfaYkEKLQHK
push-up,Push-Up,"[""bodyweight""]",CHEST,STRENGTH,,https://cdn.exercisedb.dev/w/images/YWYV3BP/41n2hNXJadYcfjnd__Push-up-m_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNXJadYcfjnd,exr_41n2hNXJadYcfjnd
supination-bar-suspension-stretch,Supination Bar Suspension Stretch,"[""bodyweight""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/FL9jRhp/41n2hoifHqpb7WK9__Supination-Bar-Suspension-Stretch_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hoifHqpb7WK9,exr_41n2hoifHqpb7WK9
pike-to-cobra-push-up,Pike-To-Cobra Push-Up,"[""bodyweight""]","CHEST, HIPS",STRENGTH,,https://cdn.exercisedb.dev/w/images/6AE4LQ9/41n2hR12rPqdpWP8__Pike-to-Cobra-Push-up_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hR12rPqdpWP8,exr_41n2hR12rPqdpWP8
kneeling-rotational-push-up,Kneeling Rotational Push-Up,"[""bodyweight""]","CHEST, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/u3ifRW7/41n2hSvEPVntpxSG__Kneeling-Rotational-Push-Up_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hSvEPVntpxSG,exr_41n2hSvEPVntpxSG
v-up,V-Up,"[""bodyweight""]","HIPS, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/X14xEmL/41n2huc12BsuDNYQ__V-up-(male)_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2huc12BsuDNYQ,exr_41n2huc12BsuDNYQ
