slug,name,equipment,body_parts,exercise_type,target_muscles,media_thumb,media_video,source_url,external_id
chin-ups,Chin-Ups,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/MSgUDiH/41n2hd6SThQhAdnZ__Chin-ups-(narrow-parallel-grip)_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hd6SThQhAdnZ,exr_41n2hd6SThQhAdnZ
single-leg-squat,Single Leg Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/motvNua/41n2hd78zujKUEWK__Single-Leg-Squat-(pistol)-male_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hd78zujKUEWK,exr_41n2hd78zujKUEWK
diamond-press,Diamond Press,"[""bodyweight""]","BACK, CHEST",STRENGTH,,https://cdn.exercisedb.dev/w/images/ocXAZeF/41n2hdCBvmbCPaVE__Diamond-Press_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdCBvmbCPaVE,exr_41n2hdCBvmbCPaVE
dumbbell-lying-floor-skull-crusher,Dumbbell Lying Floor Skull Crusher,"[""db""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/wRbgzmU/41n2hdHtZrMPkcqY__Dumbbell-Lying-Floor-Skullcrusher_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdHtZrMPkcqY,exr_41n2hdHtZrMPkcqY
suspended-row,Suspended Row,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/moTFBCp/41n2hdkBpqwoDmVq__Suspended-Row_back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdkBpqwoDmVq,exr_41n2hdkBpqwoDmVq
right-cross-boxing,Right Cross. Boxing,"[""bodyweight""]","SHOULDERS, BICEPS, TRICEPS",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/BTHVvSb/41n2hdo2vCtq4F3E__Boxing-Right-Cross.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdo2vCtq4F3E,exr_41n2hdo2vCtq4F3E
self-assisted-inverted-pullover,Self Assisted Inverted Pullover,"[""bodyweight""]","BACK, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/AWuvHS4/41n2hdsGcuzs4WrV__Self-Assisted-Inverted-Pullover_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdsGcuzs4WrV,exr_41n2hdsGcuzs4WrV
standing-calf-raise,Standing Calf Raise,"[""db""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/2IyioIS/41n2hdWu3oaCGdWT__Dumbbell-Standing-Calf-Raise_Calf.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hdWu3oaCGdWT,exr_41n2hdWu3oaCGdWT
ankle-plantar-flexion-articulations,Ankle - Plantar Flexion - Articulations,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/hT2fiZy/41n2he2doZNpmXkX__Ankle---Plantar-Flexion_Articulations.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2he2doZNpmXkX,exr_41n2he2doZNpmXkX
elbow-flexion-articulations,Elbow - Flexion - Articulations,"[""bodyweight""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/8tqb6dv/41n2hek6i3exMARx__Elbow---Flexion_Articulations.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hek6i3exMARx,exr_41n2hek6i3exMARx
alternate-punching,Alternate Punching,"[""bodyweight""]","SHOULDERS, TRICEPS, FULL BODY",CARDIO,,https://cdn.exercisedb.dev/w/images/aVlvQ57/41n2hezAZ6CdkAcM__Alternate-Punching-(female)_Cardio_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hezAZ6CdkAcM,exr_41n2hezAZ6CdkAcM
elliptical-machine-walk,Elliptical Machine Walk,"[""machine""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/tu1yTRr/41n2hfa11fPnk8y9__Elliptical-Machine-Walk_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hfa11fPnk8y9,exr_41n2hfa11fPnk8y9
lying-lower-back-stretch,Lying Lower Back Stretch,"[""bodyweight""]","BACK, HIPS",STRENGTH,,https://cdn.exercisedb.dev/w/images/QlVHyEt/41n2hfnnXz9shkBi__Lying-Lower-Back-Stretch-(bent-knee)-(female)_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hfnnXz9shkBi,exr_41n2hfnnXz9shkBi
wide-grip-pull-up,Wide Grip Pull-Up,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/KBzpP5C/41n2hftBVLiXgtRQ__Wide-Grip-Pull-Up_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hftBVLiXgtRQ,exr_41n2hftBVLiXgtRQ
hyperextension,Hyperextension,"[""bodyweight""]",WAIST,STRENGTH,,https://cdn.exercisedb.dev/w/images/uT1U4MR/41n2hfYD2sH4TRCH__Hyperextension_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hfYD2sH4TRCH,exr_41n2hfYD2sH4TRCH
calves-stretch,Calves Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/LNbwpMf/41n2hG9pRT55cGVk__Calves-stretch_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hG9pRT55cGVk,exr_41n2hG9pRT55cGVk
cross-body-hammer-curl,Cross Body Hammer Curl,"[""db""]",FOREARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/Znk6RWF/41n2hgCHNgtVLHna__Dumbbell-Cross-Body-Hammer-Curl_Forearms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hgCHNgtVLHna,exr_41n2hgCHNgtVLHna
reverse-lunge,Reverse Lunge,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/xPs3BlN/41n2hGNrmUnF58Yy__Reverse-Lunge-(leg-kick)_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGNrmUnF58Yy,exr_41n2hGNrmUnF58Yy
jumping-pistol-squat,Jumping Pistol Squat,"[""bodyweight""]","HAMSTRINGS, THIGHS, HAMSTRINGS, CALVES",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/pgc0Age/41n2hGRSg9WCoTYT__Jumping-Pistol-Squat_Plyometric.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGRSg9WCoTYT,exr_41n2hGRSg9WCoTYT
extension-and-inclination-neck-stretch,Extension And Inclination Neck Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/WUHyOiM/41n2hH6VGNz6cNtv__Extension-And-Inclination-Neck-Stretch_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hH6VGNz6cNtv,exr_41n2hH6VGNz6cNtv
cobra-push-up,Cobra Push-Up,"[""bodyweight""]","CHEST, HIPS",STRENGTH,,https://cdn.exercisedb.dev/w/images/3mCuoA5/41n2hHLE8aJXaxKR__Cobra-Push-up_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hHLE8aJXaxKR,exr_41n2hHLE8aJXaxKR
forward-flexion-neck-stretch,Forward Flexion Neck Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/CMsAaSN/41n2hJFwC7ocdiNm__Forward-Flexion-Neck-Stretch_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hJFwC7ocdiNm,exr_41n2hJFwC7ocdiNm
run-on-treadmill,Run On Treadmill,"[""machine""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/uS2nCGG/41n2hjkBReJMbDJk__Run-on-Treadmill-(female)_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hjkBReJMbDJk,exr_41n2hjkBReJMbDJk
walking-on-incline-treadmill,Walking On Incline Treadmill,"[""machine""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/DgLrUpN/41n2hkCHzg1AXdkV__Walking-on-Incline-Treadmill_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hkCHzg1AXdkV,exr_41n2hkCHzg1AXdkV
lever-stepper,Lever Stepper,"[""bodyweight""]","QUADRICEPS, THIGHS",CARDIO,,https://cdn.exercisedb.dev/w/images/BvRaui9/41n2hKiaWSZQTqgE__Lever-stepper_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hKiaWSZQTqgE,exr_41n2hKiaWSZQTqgE
clap-push-up,Clap Push Up,"[""bodyweight""]","CHEST, TRICEPS, SHOULDERS, BICEPS",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/WuZAdSm/41n2hkmMrSwcHkZ8__Clap-Push-Up_Plyometrics_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hkmMrSwcHkZ8,exr_41n2hkmMrSwcHkZ8
front-plank-with-leg-lift,Front Plank With Leg Lift,"[""bodyweight""]","HIPS, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/qlOKvZb/41n2hKoQnnSRPZrE__Front-Plank-with-Leg-Lift-(male)_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hKoQnnSRPZrE,exr_41n2hKoQnnSRPZrE
feet-and-ankles-rotation-stretch,Feet And Ankles Rotation Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/EK3Zx7T/41n2hLx2rvhz95GC__Feet-and-Ankles-Rotation-Stretch-(female)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hLx2rvhz95GC,exr_41n2hLx2rvhz95GC
walk-elliptical-cross-trainer,Walk Elliptical Cross Trainer,"[""machine""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/IueYRZr/41n2hLZZAH2F2UkS__Walk-Elliptical-Cross-Trainer-(female)_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hLZZAH2F2UkS,exr_41n2hLZZAH2F2UkS
walking-high-knees-lunge,Walking High Knees Lunge,"[""bodyweight""]","THIGHS, QUADRICEPS, HAMSTRINGS, CALVES, HIPS",CARDIO,,https://cdn.exercisedb.dev/w/images/Q89MA5y/41n2hmFcGGUCS289__Walking-High-Knees-Lunge_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmFcGGUCS289,exr_41n2hmFcGGUCS289
assault-bike-run,Assault Bike Run,"[""machine""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/3wItidk/41n2hmhb4jD7H8Qk__Assault-Bike-Run_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmhb4jD7H8Qk,exr_41n2hmhb4jD7H8Qk
arnold-press,Arnold Press,"[""db""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/x8gEzvq/41n2hMRXm49mM62z__Dumbbell-Arnold-Press-II_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hMRXm49mM62z,exr_41n2hMRXm49mM62z
jump-rope,Jump Rope,"[""bodyweight""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/4TlOJki/41n2hN468sP27Sac__Jump-Rope-(female)_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hN468sP27Sac,exr_41n2hN468sP27Sac
shoulder-tap-push-up,Shoulder Tap Push-Up,"[""bodyweight""]","SHOULDERS, TRICEPS, CHEST, BICEPS",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/ntIsUOZ/41n2hnAGfMhp95LQ__Shoulder-Tap-Push-up_Plyometrics.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hnAGfMhp95LQ,exr_41n2hnAGfMhp95LQ
neck-circle-stretch,Neck Circle Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/FmPTNM5/41n2hhBHuvSdAeCJ__Neck-Circle-Stretch_Neck_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hhBHuvSdAeCJ,exr_41n2hhBHuvSdAeCJ
calf-stretch-with-hands-against-wall,Calf Stretch With Hands Against Wall,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/g2oTlVi/41n2hHCXQpZYhxhc__Calf-Stretch-With-Hands-Against-Wall_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hHCXQpZYhxhc,exr_41n2hHCXQpZYhxhc
circles-knee-stretch,Circles Knee Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/xqgyExx/41n2hk3YSCjnZ9um__Circles-Knee-Stretch-(female)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hk3YSCjnZ9um,exr_41n2hk3YSCjnZ9um
elbows-back-stretch,Elbows Back Stretch,"[""bodyweight""]","BACK, CHEST",STRENGTH,,https://cdn.exercisedb.dev/w/images/F99SEwF/41n2hKZmyYXB2UL4__Elbows-Back-Stretch-(male)_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hKZmyYXB2UL4,exr_41n2hKZmyYXB2UL4
single-leg-bodyweight-deadlift-with-arm-and-leg-extended,Single Leg Bodyweight Deadlift With Arm And Leg Extended,"[""bodyweight""]",HIPS,STRENGTH,,https://cdn.exercisedb.dev/w/images/hSJUXym/41n2hLpyk6MsV85U__Single-Leg-Bodyweight-Deadlift-with-Arm-and-Leg-Extended-(female)_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hLpyk6MsV85U,exr_41n2hLpyk6MsV85U
thoracic-bridge,Thoracic Bridge,"[""bodyweight""]",FULL BODY,STRETCHING,,https://cdn.exercisedb.dev/w/images/ALLlKpv/41n2hLUqpev5gSzJ__Thoracic-Bridge_Stretching.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hLUqpev5gSzJ,exr_41n2hLUqpev5gSzJ
bridge-pose-setu-bandhasana,Bridge Pose Setu Bandhasana,"[""bodyweight""]","THIGHS, FULL BODY, SHOULDERS, WAIST",YOGA,,https://cdn.exercisedb.dev/w/images/NX9pifw/41n2hmbfYcYtedgz__Bridge-Pose-Setu-Bandhasana.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmbfYcYtedgz,exr_41n2hmbfYcYtedgz
cow-stretch,Cow Stretch,"[""bodyweight""]","HIPS, WAIST",STRENGTH,,https://cdn.exercisedb.dev/w/images/c0Z6dwV/41n2hNCTCWtWAqzH__Cow-Stretch_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNCTCWtWAqzH,exr_41n2hNCTCWtWAqzH
ankle-dorsal-flexion-articulations,Ankle - Dorsal Flexion - Articulations,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/BLCoHPf/41n2hNifNwh2tbR2__Ankle---Dorsal-Flexion_Articulations.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNifNwh2tbR2,exr_41n2hNifNwh2tbR2
seated-flexion-and-extension-neck,Seated Flexion And Extension Neck,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/jMyq7lg/41n2hNRM1dGGhGYL__Seated-Flexion-And-Extension-Neck-(male)_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hNRM1dGGhGYL,exr_41n2hNRM1dGGhGYL
feet-and-ankles-stretch,Feet And Ankles Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/p3iC2es/41n2hnx1hnDdketU__Feet-and-Ankles-Stretch-(male)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hnx1hnDdketU,exr_41n2hnx1hnDdketU
lying-lower-back-stretch,Lying Lower Back Stretch,"[""bodyweight""]","BACK, HIPS",STRENGTH,,https://cdn.exercisedb.dev/w/images/3uqS9aF/41n2hpJxS5VQKtBL__Lying-Lower-Back-Stretch-(female)_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hpJxS5VQKtBL,exr_41n2hpJxS5VQKtBL
side-wrist-pull-stretch,Side Wrist Pull Stretch,"[""bodyweight""]",FOREARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/nTjHmBJ/41n2hPxDaq9kFjiL__Side-Wrist-Pull-Stretch_Forearms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hPxDaq9kFjiL,exr_41n2hPxDaq9kFjiL
back-pec-stretch,Back Pec Stretch,"[""bodyweight""]","BACK, CHEST",STRENGTH,,https://cdn.exercisedb.dev/w/images/kZDPjTN/41n2hQeNyCnt3uFh__Back-Pec-Stretch_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQeNyCnt3uFh,exr_41n2hQeNyCnt3uFh
elbow-flexor-stretch,Elbow Flexor Stretch,"[""bodyweight""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/hveLqiL/41n2hqw5LsDpeE2i__Elbow-Flexor-Stretch_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hqw5LsDpeE2i,exr_41n2hqw5LsDpeE2i
side-lunge-stretch,Side Lunge Stretch,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/pbVKF9K/41n2hRaLxY7YfNbg__Side-Lunge-Stretch_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hRaLxY7YfNbg,exr_41n2hRaLxY7YfNbg
side-neck-stretch,Side Neck Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/AoULmFi/41n2hrN2RCZBZU9h__Side-Neck-Stretch_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hrN2RCZBZU9h,exr_41n2hrN2RCZBZU9h
circles-knee-stretch,Circles Knee Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/NQ6OYns/41n2hrSQZRD4yG7P__Circles-Knee-Stretch_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hrSQZRD4yG7P,exr_41n2hrSQZRD4yG7P
calf-stretch-with-rope,Calf Stretch With Rope,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/kTndv7i/41n2hSkc2tRLxVVS__Calf-Stretch-with-Rope-(female)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hSkc2tRLxVVS,exr_41n2hSkc2tRLxVVS
side-push-neck-stretch,Side Push Neck Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/odiF5rb/41n2hsZWJA1ujZUd__Side-Push-Neck-Stretch_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hsZWJA1ujZUd,exr_41n2hsZWJA1ujZUd
triceps-dips-floor,Triceps Dips Floor,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/O424Uel/41n2hHH9bNfi98YU__Triceps-Dips-Floor_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hHH9bNfi98YU,exr_41n2hHH9bNfi98YU
triceps-press,Triceps Press,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/dK1H4xO/41n2hLA8xydD4dzE__Triceps-Press-(Head-Below-Bench)_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hLA8xydD4dzE,exr_41n2hLA8xydD4dzE
left-hook-boxing,Left Hook. Boxing,"[""bodyweight""]","FULL BODY, SHOULDERS, TRICEPS, BICEPS, CHEST",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/tXr5LyP/41n2hM8vgMA6MREd__Boxing-Left-Hook.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hM8vgMA6MREd,exr_41n2hM8vgMA6MREd
push-up-on-forearms,Push-Up On Forearms,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/zObm0aB/41n2hmhxk35fbHbC__Push-up-on-Forearms_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hmhxk35fbHbC,exr_41n2hmhxk35fbHbC
diamond-push-up,Diamond Push Up,"[""bodyweight""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/ogjysnJ/41n2hnbt5GwwY7gr__Diamond-Push-up-(female)_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hnbt5GwwY7gr,exr_41n2hnbt5GwwY7gr
triceps-dip,Triceps Dip,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/mfdrWaf/41n2hndkoGHD1ogh__Triceps-Dip_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hndkoGHD1ogh,exr_41n2hndkoGHD1ogh
bench-dip-on-floor,Bench Dip On Floor,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/Y3xVtY1/41n2hoFGGwZDNFT1__Bench-dip-on-floor_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hoFGGwZDNFT1,exr_41n2hoFGGwZDNFT1
close-grip-push-up,Close-Grip Push-Up,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/nWji4PA/41n2hPgRbN1KtJuD__Close-Grip-Push-up_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hPgRbN1KtJuD,exr_41n2hPgRbN1KtJuD
squat-thrust,Squat Thrust,"[""bodyweight""]","FULL BODY, WAIST",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/fJwsZoX/41n2hRicz5MdZEns__Squat-Thrust_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hRicz5MdZEns,exr_41n2hRicz5MdZEns
diamond-push-up,Diamond Push-Up,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/kopfkQf/41n2hRZ6fgsLyd77__Diamond-Push-up_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hRZ6fgsLyd77,exr_41n2hRZ6fgsLyd77
dumbbell-jumping-squat,Dumbbell Jumping Squat,"[""db""]",FULL BODY,PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/Yq62mdx/41n2huf7mAC2rhfC__Dumbbell-Jumping-Squat_Plyometric.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2huf7mAC2rhfC,exr_41n2huf7mAC2rhfC
dip-on-floor-with-chair,Dip On Floor With Chair,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/KFWTdf7/41n2hUKc7JPrtJQj__Dip-on-Floor-with-Chair_Chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hUKc7JPrtJQj,exr_41n2hUKc7JPrtJQj
jump-split,Jump Split,"[""bodyweight""]","FULL BODY, THIGHS, HAMSTRINGS, QUADRICEPS",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/cPvdS0u/41n2hUVNhvcS73Dt__Jump-Split_Plyometrics.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hUVNhvcS73Dt,exr_41n2hUVNhvcS73Dt
right-hook-boxing,Right Hook. Boxing,"[""bodyweight""]","SHOULDERS, TRICEPS, BICEPS",PLYOMETRICS,,https://cdn.exercisedb.dev/w/images/JTrsdIr/41n2hwio5ECAfLuS__Boxing-Right-Hook.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hwio5ECAfLuS,exr_41n2hwio5ECAfLuS
kneeling-toe-up-hamstring-stretch,Kneeling Toe Up Hamstring Stretch,"[""bodyweight""]","HAMSTRINGS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/H0mrp4v/41n2hyWsNxNYWpk3__Kneeling-Toe-Up-Hamstring-Stretch_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hyWsNxNYWpk3,exr_41n2hyWsNxNYWpk3
inverted-chin-curl-with-bent-knee-between-chairs,Inverted Chin Curl With Bent Knee Between Chairs,"[""bodyweight""]","BICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/9nH58wg/41n2hzAMXkkQQ5T2__Inverted-Chin-Curl-with-Bent-Knee-between-Chairs_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hzAMXkkQQ5T2,exr_41n2hzAMXkkQQ5T2
one-arm-wrist-curl,One Arm Wrist Curl,"[""db""]",FOREARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/d8HXS6b/41n2hGy6zE7fN6v2__Dumbbell-One-arm-Wrist-Curl_Forearm.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGy6zE7fN6v2,exr_41n2hGy6zE7fN6v2
one-arm-bent-over-row,One Arm Bent-Over Row,"[""db""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/3jCUx9e/41n2hHdjQpnyNdie__Dumbbell-Bent-over-Row_back_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hHdjQpnyNdie,exr_41n2hHdjQpnyNdie
lateral-raise,Lateral Raise,"[""db""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/wINC5NY/41n2hjuGpcex14w7__Dumbbell-Lateral-Raise_shoulder.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hjuGpcex14w7,exr_41n2hjuGpcex14w7
romanian-deadlift,Romanian Deadlift,"[""db""]",HIPS,STRENGTH,,https://cdn.exercisedb.dev/w/images/QxA3A5m/41n2hn8rpbYihzEW__Dumbbell-Romanian-Deadlift_Hips.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hn8rpbYihzEW,exr_41n2hn8rpbYihzEW
front-raise,Front Raise,"[""db""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/1xKTESs/41n2howQHvcrcrW6__Dumbbell-Front-Raise_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2howQHvcrcrW6,exr_41n2howQHvcrcrW6
